,Æ¯ÇãÁ¦¸ñ,Æ¯ÇãÄÚµå,Àû¿ë±¹°¡,Inventor,assignee,google patent link,Ãâ¿ø³¯Â¥,pdf link,ÀÎ¿ëÈ½¼ö
0,Sensor enclosure and glass panels for sensor enclosures,US10852395B1,US(2019) / US(2019),James R. Wilson / Christopher D. Jones,Apple Inc  ,https://patents.google.com/patent/US10852395B1/en,2020-12-01,https://patentimages.storage.googleapis.com/54/e6/c1/c8990bbbc5e836/US10852395.pdf,8
1,Ultrasonic sensor,US10871555B1,US(2016) / US(2016),Gregory E. Rogers / Charles L. Greenlee,Apple Inc  ,https://patents.google.com/patent/US10871555B1/en,2020-12-22,https://patentimages.storage.googleapis.com/0f/fe/be/4221f0ed45909a/US10871555.pdf,24
2,Systems with windows,US11180005B2,US(2020) / US(2018) / US(2020),Peter F. Masschelein / Martin Melcher / Derek C. Scott / David E. Kingman,Apple Inc  ,https://patents.google.com/patent/US11180005B2/en,2021-11-23,https://patentimages.storage.googleapis.com/4d/75/4c/c5ea404c21c53d/US11180005.pdf,13
3,,US00255002,-,-,-,https://patents.google.com/patent/US00255002/en,-,//www.google.com/,13
4,Cosmetic Integration of Displa,US20200214148A1,US(2020) / US(2017) / US(2020),Romain A. Teil / Jack J. WANDERMAN / Dominic P. CINCIONE / Sawyer I. Cohen,Apple Inc  ,https://patents.google.com/patent/US20200214148A1/en,2020-07-02,https://patentimages.storage.googleapis.com/81/3b/a2/094801fe7dd208/US20200214148A1.pdf,13
5,,US10135507,-,-,-,https://patents.google.com/patent/US10135507/en,-,//www.google.com/,13
6,Wireless vehicle system for enhancing situational awareness,US10878699B2,US(2019) / US(2012) / US(2017) / US(2019),Devrim Varoglu / Ravisastry Parupudi,Apple Inc  ,https://patents.google.com/patent/US10878699B2/en,2020-12-29,https://patentimages.storage.googleapis.com/10/a3/e5/fd63e5039783fc/US10878699.pdf,24
7,Camera shades,US20180091717A1,WO(2017) / US(2017) / WO(2017),Lucian Ion,Apple Inc  ,https://patents.google.com/patent/US20180091717A1/en,2018-03-29,https://patentimages.storage.googleapis.com/fa/c5/53/e2771af1d91d81/US20180091717A1.pdf,10
8,Multi-stage active suspension actuator,US11124035B1,US(2018) / US(2018),Jonathan L. Hall / Troy A. CARTER / Paul J. Keas,Apple Inc  ,https://patents.google.com/patent/US11124035B1/en,2021-09-21,https://patentimages.storage.googleapis.com/ae/16/28/86d91874ea31a0/US11124035.pdf,292
9,Multi-linkage vehicle door hinge,US10648210B1,US(2018) / US(2018),Ali Tavakoli Targhi / Donald R. Monroe / Johan Karlsson / Steven H. Klotz,Apple Inc  ,https://patents.google.com/patent/US10648210B1/en,2020-05-12,https://patentimages.storage.googleapis.com/19/05/a9/7945aeb4d11116/US10648210.pdf,54
10,Wireless charging interference mitigation,US11056928B2,WO(2020) / US(2020) / US(2020) / WO(2020),Adam L. Schwartz / Ron Rafer C. Floresca / Liang Chen / Zaki Moussaoui,Apple Inc  ,https://patents.google.com/patent/US11056928B2/en,2021-07-06,https://patentimages.storage.googleapis.com/17/33/b6/6b4a62a978b0e0/US11056928.pdf,32
11,,USAN/apple,-,-,-,https://patents.google.com/patent/USAN/apple/en,-,//www.google.com/,32
12,Active suspension system,US10906370B1,US(2018) / US(2018) / US(2018),Jonathan L. Hall / Kan Zhou / Troy A. CARTER / Paul J. Keas / Neal M. Lackritz,Apple Inc  ,https://patents.google.com/patent/US10906370B1/en,2021-02-02,https://patentimages.storage.googleapis.com/d0/11/4d/30d61c49fd25c7/US10906370.pdf,254
13,Movable panel assemblies,US10850662B1,US(2020) / US(2017) / US(2020),Philipp J. Wolf / Samuel G. Fowle / Donald R. Monroe / John Raff / Antonio B. Martinez / Albert J. Golko / Ali Tavakoli Targhi / David J. Donohue / David E. Kingman / Ibuki Kamei,Apple Inc  ,https://patents.google.com/patent/US10850662B1/en,2020-12-01,https://patentimages.storage.googleapis.com/5d/eb/98/418db9a3fd2f8a/US10850662.pdf,30
14,Exterior lighting and warning system,US11104267B1,US(2018) / US(2016) / US(2018) / US(2021),Clarisse Mazuir / Arthur Y. Zhang / Albert J. Golko / Bivin J. Varghese / Christopher P. Child / Collin J. Palmer / Daniel E. Potter / Thaddeus Stefanov-Wagner,Apple Inc  ,https://patents.google.com/patent/US11104267B1/en,2021-08-31,https://patentimages.storage.googleapis.com/44/af/21/cbba7847a374dd/US11104267.pdf,36
15,Modular Charging Systems For Vehicl,US20210402888A1,(2020),Jeffrey M. Alves / Peteris K. Augenbergs,Apple Inc  ,https://patents.google.com/patent/US20210402888A1/en,2021-12-30,https://patentimages.storage.googleapis.com/74/75/99/fb398009c517db/US20210402888A1.pdf,36
16,Concealed latch,US10662676B1,US(2017) / US(2017),Donald R. Monroe / Phil M. Hobson / John Raff / Albert J. Golko / Matthew L. Brown / David J. Donohue,Apple Inc  ,https://patents.google.com/patent/US10662676B1/en,2020-05-26,https://patentimages.storage.googleapis.com/d9/e9/9e/49f92a7f461517/US10662676.pdf,59
17,,018002366 ,-,-,-,https://patents.google.com/patent/018002366 /en,-,//www.google.com/,59
18,Vehicle Thermal Management System and Heat Exchange,US20190118610A1,(2017),Vincent G. Johnston / Donald P. Yuhasz / Mark R. Hoehne,Apple Inc  ,https://patents.google.com/patent/US20190118610A1/en,2019-04-25,https://patentimages.storage.googleapis.com/c4/8b/b6/39f1dfdc8329be/US20190118610A1.pdf,59
19,Machine learning assisted satellite based positioni,US20200049837A1,US(2019) / US(2019),Benjamin A. Werner / Brent M. Ledvina / Dennis P. HILGENBERG / Aarti SATHYANARAYANA,Apple Inc  ,https://patents.google.com/patent/US20200049837A1/en,2020-02-13,https://patentimages.storage.googleapis.com/e8/ed/08/9825e2fbae3561/US20200049837A1.pdf,59
20,Using a pre-installation environment to debug a server without a functioning operating system,US10402290B2,US(2017) / US(2017),Kiran Ravi TUMKUR / Eshwar Stalin / Rajesh ROY / Fang Wang,Microsoft Technology Licensing LLC  ,https://patents.google.com/patent/US10402290B2/en,2019-09-03,https://patentimages.storage.googleapis.com/62/1d/70/ac43284a1af533/US10402290.pdf,14
21,Electronic devices with millimeter wave antennas and metal housings,US10862195B2,DE(2019) / US(2015) / AU(2016) / DE(2016) / CN(2016) / US(2019) / US(2020),Yuehui Ouyang / Yi Jiang / Matthew A. Mow / Mattia Pascolini / Ruben Caballero / Basim Noori,Apple Inc  ,https://patents.google.com/patent/US10862195B2/en,2020-12-08,https://patentimages.storage.googleapis.com/51/81/16/f25ba5987bd378/US10862195.pdf,29
22,Body structure ventilation,US10787060B1,US(2017) / US(2017),Johannes Mayr / John M. Kearney / Reinhard HOERMANN,Apple Inc  ,https://patents.google.com/patent/US10787060B1/en,2020-09-29,https://patentimages.storage.googleapis.com/19/46/3b/69477d9ff04ab5/US10787060.pdf,31
23,Mobile key enrollment and u,US20210229630A1,WO(2020) / US(2020) / WO(2021) / DK(2021),Vitalii KRAMAR / Dorian D. DARGAN / Marcel van Os,Apple Inc  ,https://patents.google.com/patent/US20210229630A1/en,2021-07-29,https://patentimages.storage.googleapis.com/6d/e4/31/8405a4019ae781/US20210229630A1.pdf,31
